id;num_operation;date;type_operatin;etat_operation;montant
1;Kwacha;2022-05-09;TypeRecharge;Virgin;76957
2;holistic;2022-05-09;TypeVirement;microchip Maine;88538
3;Hawaii Sausages connecting;2022-05-09;TypeRecharge;Optimization Rustic Synergistic;14208
4;Antilles Home;2022-05-09;TypePaimentFacture;Rupee Customer;33898
5;Senior;2022-05-09;TypePaimentFacture;Metal Applications;16800
6;Leone;2022-05-09;TypeTransfer;synthesizing program;18655
7;Avon fuchsia;2022-05-09;TypeTransfer;Montana;76856
8;Practical Incredible;2022-05-09;TypeTransfer;holistic virtual De-engineered;32328
9;Chief Outdoors;2022-05-08;TypePaimentFacture;generation facilitate;32658
10;Loan generate Indonesia;2022-05-09;TypeRecharge;Virginia Orchard Chicken;85314
